,imports,gdp,industrial_production,unemployment,cpi,exchange_rate
2010-03-31,2269.069,14764.61,89.6280390625,9.8359375,217.37479687500002,6.82720625
2010-06-30,2362.255,14980.193,91.35513333333333,9.633333333333333,217.29733333333334,6.823818181818182
2010-09-30,2431.195,15141.607,92.56765970149253,9.467164179104477,217.93416417910447,6.768650746268657
2010-12-31,2495.702,15309.474,92.96947424242424,9.49848484848485,219.72077272727273,6.655724242424243
2011-03-31,2608.884,15351.448,93.47567692307692,9.033846153846154,222.06356923076922,6.578738461538461
2011-06-30,2697.224,15557.539,93.82797878787879,9.065151515151515,224.57913636363637,6.498360606060606
2011-09-30,2723.903,15647.68,94.88164848484848,9.0,226.0434393939394,6.415724242424242
2011-12-31,2751.911,15842.259,95.84926666666667,8.633333333333333,227.04733333333334,6.358357575757576
2012-03-31,2792.253,16068.805000000002,96.79088636363637,8.266666666666667,228.31862121212123,6.3091606060606065
2012-06-30,2780.827,16207.115000000002,97.39550454545454,8.2,228.81086363636362,6.3302000000000005
2012-09-30,2750.817,16319.541,97.3938223880597,8.040298507462685,229.8059552238806,6.351517910447761
2012-12-31,2753.373,16420.419,97.87081940298508,7.800000000000001,231.37334328358207,6.243737313432836
2013-03-31,2755.277,16648.189,98.606996875,7.7421875,232.269984375,6.22291875
2013-06-30,2759.783,16728.687,99.06551515151516,7.533333333333333,232.03663636363635,6.153915151515152
2013-09-30,2767.183,16953.838,99.46127611940298,7.2343283582089555,233.29402985074628,6.125168656716418
2013-12-31,2783.259,17192.019,100.14491492537313,6.934328358208956,234.16453731343282,6.090335820895523
2014-03-31,2853.69,17197.738,100.81536060606061,6.665151515151515,235.61707575757578,6.1003727272727275
2014-06-30,2900.572,17518.508,102.21463333333332,6.2,236.87233333333333,6.231283333333334
2014-09-30,2888.549,17804.228,102.7922393939394,6.068181818181818,237.4789090909091,6.1645393939393935
2014-12-31,2906.969,17912.079,103.38517014925374,5.697014925373134,236.88550746268658,6.147623880597015
2015-03-31,2825.476,18063.529,102.23330151515151,5.531818181818182,235.36460606060606,6.235865151515151
2015-06-30,2809.968,18279.784,100.8180323076923,5.430769230769231,236.95936923076923,6.203115384615384
2015-09-30,2798.806,18401.626,100.88272985074627,5.101492537313433,237.85767164179106,6.301162686567165
2015-12-31,2745.517,18435.137,99.50488208955224,5.032835820895523,237.8358656716418,6.388717910447761
2016-03-31,2693.639,18525.933,98.82105846153847,4.903076923076923,237.70135384615384,6.539616923076923
2016-06-30,2711.306,18711.702,98.48459393939395,4.928787878787879,239.59889393939395,6.53069393939394
2016-09-30,2751.229,18892.639,98.74614696969698,4.901515151515151,240.6140606060606,6.663951515151515
2016-12-31,2799.145,19089.379,98.70286666666667,4.766666666666667,242.13466666666667,6.829130303030303
2017-03-31,2873.148,19280.084,98.78192424242424,4.565151515151515,243.83106060606062,6.8866696969696966
2017-06-30,2903.18,19438.643,100.17017575757576,4.366666666666666,244.11713636363635,6.858877272727272
2017-09-30,2916.022,19692.595,99.82057727272726,4.334848484848485,245.26803030303032,6.670334848484848
2017-12-31,3034.004,20037.088,101.23435757575757,4.168181818181819,247.2204696969697,6.614024242424242
2018-03-31,3093.299,20328.553,101.80111076923076,4.030769230769231,249.30816923076924,6.357386153846154
2018-06-30,3105.995,20580.912,102.97443636363636,3.9303030303030297,250.67557575757576,6.375781818181818
2018-09-30,3153.747,20798.73,103.83157611940298,3.7686567164179103,251.67153731343282,6.800701492537313
2018-12-31,3171.622,20917.867,103.99481343283583,3.8328358208955224,252.7119104477612,6.913558208955224
2019-03-31,3132.539,21111.6,103.0208671875,3.8718749999999997,253.3609375,6.748025
2019-06-30,3165.41,21397.938,102.4097409090909,3.6333333333333333,255.2485909090909,6.821974242424242
2019-09-30,3117.952,21717.171,102.40961343283581,3.601492537313433,256.0850447761194,7.017179104477612
2019-12-31,3050.824,21933.217,101.88544925373134,3.6,257.88826865671643,7.043677611940298
2020-03-31,2929.759,21727.657,100.16121492537314,3.843283582089552,258.8047611940299,6.975910447761194
2020-06-30,2350.926,19935.444,87.47772615384615,12.996923076923077,256.2995384615384,7.084787692307692
2020-09-30,2801.482,21684.551,95.5991447761194,8.82089552238806,259.2086865671642,6.917335820895523
2020-12-31,3027.199,22068.767,97.24204029850746,6.7656716417910445,261.1058955223881,6.621495522388059
2021-03-31,3176.982,22656.793,97.557253125,6.2296875,263.724375,6.4818671875
2021-06-30,3340.114,23368.861,99.05556666666666,5.933333333333334,268.57966666666664,6.458243939393939
2021-09-30,3458.783,23921.991,99.70624179104479,5.067164179104478,272.88432835820896,6.469535820895522
2021-12-31,3685.956,24777.038,100.9518696969697,4.190909090909091,278.7841515151515,6.391566666666666
2022-03-31,3925.742,25215.491,101.92493538461538,3.832307692307692,284.8948461538461,6.347903076923076
2022-06-30,4093.6629999999996,25805.791,102.89786212121211,3.6318181818181823,291.6921666666667,6.611365151515152
2022-09-30,3988.4469999999997,26272.011,103.25294848484849,3.534848484848485,295.5110303030303,6.850409090909091
2022-12-31,3897.402,26734.277,102.79220000000001,3.566666666666667,298.49833333333333,7.111919696969697
2023-03-31,3874.21,27164.359,102.78681363636363,3.5303030303030303,301.1787424242424,6.842178787878788
2023-06-30,3799.003,27453.815,102.85828181818182,3.5363636363636366,303.4312727272727,7.013234848484848
2023-09-30,3843.132,27967.697,103.15523939393938,3.665151515151515,306.0236060606061,7.244765151515152
2023-12-31,3882.899,28296.967,102.6978,3.8015151515151517,308.1419393939394,7.225262121212121
2024-03-31,3966.989,28624.069,101.483,3.7,309.794,7.0999
